------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00 -2.055961746384E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  5.508025084700E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  2.734904738587E-01 -2.420800744838E-01  0.000000000000E+00  0.000000000000E+00
      0    -2 -5.293108647076E-03 -8.844253439244E-04  0.000000000000E+00  0.000000000000E+00
      0    -3  8.463476473438E-04  1.569348428171E-03  0.000000000000E+00  0.000000000000E+00
      0    -4 -1.389935455644E-03  1.782754114606E-03  0.000000000000E+00  0.000000000000E+00
      0    -5  2.010456914435E-04 -9.073995673381E-05  0.000000000000E+00  0.000000000000E+00
      0    -6 -6.925146807985E-05  5.220823089049E-05  0.000000000000E+00  0.000000000000E+00
      0    -7 -4.579534488269E-04 -1.504351737278E-04  0.000000000000E+00  0.000000000000E+00
      0    -8  2.165601584196E-04 -4.519443679536E-04  0.000000000000E+00  0.000000000000E+00
      0    -9  1.674982671233E-04  6.064573962857E-04  0.000000000000E+00  0.000000000000E+00
      0   -10  5.042920178487E-04  2.868451457929E-04  0.000000000000E+00  0.000000000000E+00
      0   -11  3.290172099395E-05  4.103397217689E-04  0.000000000000E+00  0.000000000000E+00
      0   -12 -5.393255907038E-05 -3.579800136496E-06  0.000000000000E+00  0.000000000000E+00
      0   -13  1.302435637883E-05 -5.328940269695E-05  0.000000000000E+00  0.000000000000E+00
      0   -14 -3.921947334651E-06 -2.116285932510E-05  0.000000000000E+00  0.000000000000E+00
      0   -15 -5.915566965156E-06 -1.383293088302E-05  0.000000000000E+00  0.000000000000E+00
      0   -16  5.297199197937E-06 -8.702935212433E-06  0.000000000000E+00  0.000000000000E+00
      0   -17  5.927704286548E-07  8.746416306066E-07  0.000000000000E+00  0.000000000000E+00
      0   -18  3.766938465054E-06  7.018257560402E-07  0.000000000000E+00  0.000000000000E+00
      0   -19 -4.130944898745E-06  2.527888132465E-06  0.000000000000E+00  0.000000000000E+00
      0   -20 -2.715435089431E-06 -5.854795147763E-06  0.000000000000E+00  0.000000000000E+00
      0   -21  2.978123479176E-06 -2.419465987321E-06  0.000000000000E+00  0.000000000000E+00
      0   -22  2.496524726061E-06  7.828761247972E-07  0.000000000000E+00  0.000000000000E+00
